;Company;Symbol
334;GAMESA CORPORACION TECNOLOGICA SA ORD EUR0.17;0H4N.L
335;ACCOR EUR3;0H59.L
336;JUVENTUS FOOTBALL CLUB SPA EUR0.10;0H65.L
337;ENI EUR1;0H6G.L
338;TELECOM ITALIA SPA(NEW) EUR0.55;0H6I.L
339;HOLMEN AB SER`B`NPV;0H6N.L
340;SVENSKA HANDELSBANKEN SER'A'NPV;0H6S.L
341;SWEDBANK AB SER`A`NPV;0H6T.L
342;TELIASONERA AB NPV;0H6X.L
343;FORTUM OYJ EUR3.40;0H72.L
344;VESTAS WIND SYSTEMS DKK1;0H79.L
345;WINCOR NIXDORF NPV;0H7B.L
346;DEUTSCHE BANK AG ORD NPV(REGD);0H7D.L
347;LANXESS AG NPV;0H7I.L
348;BANKINTER SA EUR0.30(REGD);0H7O.L
349;LOCINDUS EUR5.75;0H8X.L
350;INTRUM JUSTITIA AB NPV;0H9P.L
351;FRESENIUS MEDICAL CARE AG & CO.KGAA NPV;0H9X.L
352;RWE AG(NEU) NPV`A`;0HA0.L
353;BAYERISCHE HYPO-UND VEREINSBANK AG ORD NPV;0HA2.L
354;MUNCHENER RUCKVERSICHERUNGS AG NPV(REGD);0HA3.L
355;VESTAS WIND SYSTEMS DKK1;0HA4.L
356;ABERTIS INFRAESTRUCTURAS EUR3;0HA5.L
357;CORPORACION FINANCIERA ALBA EUR1;0HA8.L
358;INDRA SISTEMAS S.A EUR0.20'A';0HA9.L
359;FOMENTO DE CONSTRUCCIONES Y CONTRA EUR1;0HAA.L
360;ACS ACTIVIDADES DE CONSTRUCCION Y ORD EUR0.5;0HAC.L
361;NOKIA CORP NPV0.06;0HAF.L
362;SAMPO SER'A'NPV;0HAG.L
363;FORTUM OYJ EUR3.40;0HAH.L
364;CREDIT AGRICOLE EUR3;0HAI.L
365;CARREFOUR EUR2.5;0HAL.L
366;BOUYGUES EUR1;0HAN.L
367;SUEZ EUR2;0HAO.L
368;SANOFI-AVENTIS EUR2;0HAQ.L
369;AXA EUR2.29;0HAR.L
370;PERNOD-RICARD NPV;0HAT.L
371;LVMH MOET-HENNESSY LOUIS VUITTON EUR0.30;0HAU.L
372;SODEXHO ALLIANCE EUR4;0HAV.L
373;CAP GEMINI EUR8;0HAZ.L
374;CANAL PLUS EUR0.75;0HB0.L
375;CASINO GUICHARD-PERRACHON EUR1.53;0HB1.L
376;LAGARDERE GROUP S.C.A. EUR6.10(REGD);0HB2.L
377;VALEO EUR3;0HB3.L
378;DASSAULT SYSTEMES SA EUR1;0HB4.L
379;BNP PARIBAS EUR2;0HB5.L
380;ALSTOM EUR14;0HB9.L
381;EDF EUR0.50;0HBA.L
382;ARKEMA EUR10;0HBB.L
383;INTESA SANPAOLO SPA EUR0.52;0HBC.L
384;MEDIOBANCA SPA EUR0.50;0HBF.L
385;RCS MEDIAGROUP EUR1;0HBH.L
386;GRUPPO EDITORIALE L'ESPRESSO EUR0.15;0HBO.L
387;HENNES & MAURITZ AB NPV 'B';0HBP.L
388;SKF AB SER`B`NPV;0HBQ.L
389;SKANSKA AB SER'B'NPV;0HBT.L
390;SKANDINAVISKA ENSKILDA BANKEN SER'A'NPV;0HBY.L
391;SANDVIK AB NPV;0HC0.L
392;NOBEL BIOCARE AG CHF2;0HCR.L
393;VIVENDI EUR5.5;0HCT.L
394;ZONCOLAN ASA NOK0.07;0HD9.L
395;MEKONOMEN AB NPV;0HDJ.L
396;SYSTEMAIR AB NPV;0HDK.L
397;VWD VEREINIGTE WIRTSCHAFTSDIENSTE NPV;0HDM.L
398;D/S NORDEN DKK1;0HDP.L
399;SYNERGIE EUR5;0HDQ.L
400;BOUVET ASA NOK1;0HDU.L
401;GOLAR LNG COM STK USD1.00;0HDY.L
402;EPICEPT CORP COM STK USD0.0001;0HE2.L
403;MERCK & CO INC COM STK USD0.01;0HE5.L
404;NYSE EURONEXT INC COM STK USD0.01;0HE6.L
405;COMPLETEL NV EUR0.02;0HET.L
406;EAST CAPITAL EXPLORER AB NPV;0HEZ.L
407;GREENTECH ENERGY SYSTEMS DKK5;0HFD.L
408;GORENJSKI TISK NPV;0HFH.L
409;HAMBURGER HAFEN UND LOGISTIK AG NPV (REGD);0HFJ.L
410;INMOBILIARIA DEL SUR EUR2;0HFP.L
411;MARBERT HOLDING AG NPV;0HFW.L
412;PORSCHE AG NON VTG PRF NPV;0HGC.L
413;STAR REEFERS INC COM STK USD0.01;0HGQ.L
414;TOWER GROUP A/S DKK10;0HGZ.L
415;TRIGLAV NALOZBE NPV;0HH0.L
416;SURTECO SE NPV;0HHI.L
417;SAF MAGELAN AD BGN1;0HHT.L
418;SIRAGA EUR3.75;0HHU.L
419;DET NORSKE OLJESELSKAP ASA (NEW) NOK0.20;0HHY.L
420;MEVIS MEDICAL SOLUTIONS AG NPV (REG);0HI7.L
421;IBERDROLA SA EUR0.75;0HIT.L
422;BOLSAS Y MERCADOS ESPANOLES EUR3.23;0HIY.L
423;VILMORIN ET CIE EUR15.25;0HJC.L
424;ABB LTD CHF2.50(REGD);0HJF.L
425;S.E.S.SA FIDUCIARY DR EACH REP 1`A`SHS NPV;0HJI.L
426;ICADE EMGP NPV;0HJL.L
427;HEAD NV EUR0.01;0HK8.L
428;NOVARTIS AG CHF0.50(REGD);0HKE.L
429;OC OERLIKON CORP AG CHF20(REGD);0HKF.L
430;SWISSCOM AG CHF1(REGD);0HKH.L
431;THEOLIA EUR1;0HKT.L
432;TRDNJAVA HLDG DD NPV;0HL5.L
433;WALLENSTAM SER`B`NPV;0HL8.L
434;FAIR VALUE REIT-AG NPV;0HLE.L
435;KRK DD NPV;0HLK.L
436;TAG TEGERNSEE IMMO AG NPV;0HLQ.L
