;Company;Symbol;ISIN;WKN
313;SAP SE O.N.;SAP;DE0007164600;716460
314;SARTORIUS AG O.N.;SRT;DE0007165607;716560
315;SARTORIUS AG VZO O.N.;SRT3;DE0007165631;716563
316;SCHALTBAU HOLDING O.N;SLT;DE0007170300;717030
317;KOENIG + BAUER AG ST O.N.;SKB;DE0007193500;719350
318;FIRST SENSOR AG O.N.;SIS;DE0007201907;720190
319;SNP SCHNEID.-NEUREIT.O.N.;SHF;DE0007203705;720370
320;SCHLOSS WACHENHEIM AG O.N;SWA;DE0007229007;722900
321;SIXT SE ST O.N.;SIX2;DE0007231326;723132
322;SIXT SE VZO O.N.;SIX3;DE0007231334;723133
323;SGL CARBON SE O.N.;SGL;DE0007235301;723530
324;SIEMENS AG NA;SIE;DE0007236101;723610
325;STADA ARZNEIMITT. NA O.N.;SAZ;DE0007251803;725180
326;CECONOMY AG  ST O.N.;CEC;DE0007257503;725750
327;CECONOMY AG  VZO O.N.;CEC1;DE0007257537;725753
328;STO SE+CO.KGAA VZO O.N.;STO3;DE0007274136;727413
329;SECUNET SECURITY AG O.N.;YSN;DE0007276503;727650
330;SPL.MEDIEN AG O.N.;SPM;DE0007279507;727950
331;SUEDZUCKER AG  O.N.;SZU;DE0007297004;729700
332;HEIDELBERG.DRUCKMA.O.N.;HDD;DE0007314007;731400
333;TAKKT AG O.N.;TTK;DE0007446007;744600
334;IVU TRAFFIC TECHN.AG O.N.;IVU;DE0007448508;744850
335;TELES AG INFORM.TECHN.;TLI;DE0007454902;745490
336;PVA TEPLA AG O.N.;TPE;DE0007461006;746100
337;WIRECARD AG;WDI;DE0007472060;747206
338;DEUTSCHE EUROSHOP NA O.N.;DEQ;DE0007480204;748020
339;STROEER SE + CO. KGAA;SAX;DE0007493991;749399
340;THYSSENKRUPP AG O.N.;TKA;DE0007500001;750000
341;WASHTEC AG O.N.;WSU;DE0007507501;750750
342;BEATE UHSE AG;USE;DE0007551400;755140
343;UZIN UTZ AG O.N.;UZU;DE0007551509;755150
344;SFC ENERGY AG;F3C;DE0007568578;756857
345;GK SOFTWARE  INH O.N.;GKS;DE0007571424;757142
346;GOING PUBLIC MEDIA NA ON;G6P;DE0007612103;761210
347;VILLEROY + BOCH AG VZ;VIB3;DE0007657231;765723
348;VOLKSWAGEN AG ST O.N.;VOW;DE0007664005;766400
349;VOLKSWAGEN AG VZO O.N.;VOW3;DE0007664039;766403
350;VOSSLOH AG O.N.;VOS;DE0007667107;766710
351;WESTAG + GETALIT ST O.N.;WUG;DE0007775207;777520
352;WESTAG + GETALIT VZO O.N.;WUG3;DE0007775231;777523
353;DALDRUP+SOEHNE AG;4DS;DE0007830572;783057
354;IFA SYSTEMS AG;IS8;DE0007830788;783078
355;VISCOM AG O.N.;V6C;DE0007846867;784686
356;ELRINGKLINGER AG NA O.N.;ZIL2;DE0007856023;785602
357;KLASSIK RADIO AG NA O.N.;KA8;DE0007857476;785747
358;DT.PFANDBRIEFBK AG;PBB;DE0008019001;801900
359;DT.EFF.U.WECH.-BET.G.O.N.;EFF;DE0008041005;804100
360;WUESTENROT+WUERTT.AG O.N.;WUW;DE0008051004;805100
361;MERKUR BANK KGAA .O.N.;MBK;DE0008148206;814820
362;LUFTHANSA AG VNA O.N.;LHA;DE0008232125;823212
363;TAG IMMOBILIEN AG;TEG;DE0008303504;830350
364;HANNOVER RUECK SE NA O.N.;HNR1;DE0008402215;840221
365;ALLIANZ SE NA O.N.;ALV;DE0008404005;840400
366;MUENCH.RUECKVERS.VNA O.N.;MUV2;DE0008430026;843002
367;NUERNBERGER BET.AG VNA;NBG6;DE0008435967;843596
368;BP PLC DZ/1 DL-,25;BPE;DE0008618737;861873
369;CONSTANTIN MEDIEN AG O.N.;EV4;DE0009147207;914720
370;ALZCHEM GROUP AG INH. ON;SFP1;DE000A0AHT46;000A0AHT4
371;PAION O.N;PA8;DE000A0B65S3;000A0B65S
372;JDC GROUP AG O.N.;A8A;DE000A0B9N37;000A0B9N3
373;COREO AG   O.N.;NNS;DE000A0B9VV6;000A0B9VV
374;VITA 34 AG NA O.N.;V3V;DE000A0BL849;000A0BL84
375;USU SOFTWARE AG;OSP2;DE000A0BVU28;000A0BVU2
376;PHOENIX SOLAR AG  O.N.;PS4;DE000A0BVU93;000A0BVU9
377;DT.CANNABIS AG   O.N.;FAM1;DE000A0BVVK7;000A0BVVK
378;DIEBOLD NIXDORF  INH.O.N.;WIN;DE000A0CAYB2;000A0CAYB
379;NORDEX SE O.N.;NDX1;DE000A0D6554;000A0D655
380;MAX21 AG;MA1;DE000A0D88T9;000A0D88T
381;ISHARES EURO STOXX U.ETF;EXSI;DE000A0D8Q07;000A0D8Q0
382;ISHARES ATX UCITS ETF;EXXX;DE000A0D8Q23;000A0D8Q2
383;I.EB.R.GOV.GE.10.5+ U.ETF;EXX6;DE000A0D8Q31;000A0D8Q3
384;IS.DJ U.S.SELEC.DIV.U.ETF;EXX5;DE000A0D8Q49;000A0D8Q4
385;ISH.S.EUR.SMALL 200 U.ETF;EXSE;DE000A0D8QZ7;000A0D8QZ
386;MTU AERO ENGINES NA O.N.;MTX;DE000A0D9PT0;000A0D9PT
387;SMA SOLAR TECHNOL.AG;S92;DE000A0DJ6J9;000A0DJ6J
388;BET-AT-HOME.COM AG O.N.;ACX;DE000A0DNAY5;000A0DNAY
389;SIXT LEASING O.N.;LNSX;DE000A0DPRE6;000A0DPRE
390;INTERSHOP COMM.;ISH2;DE000A0EPUH1;000A0EPUH
391;HELMA EIGENHEIMBAU AG;H5E;DE000A0EQ578;000A0EQ57
392;MBB SE O.N.;MBB;DE000A0ETBQ4;000A0ETBQ
393;IS.DJ CHINA OFFS.50 U.ETF;EXXU;DE000A0F5UE8;000A0F5UE
394;ISHARES NASDAQ-100 U.ETF;EXXT;DE000A0F5UF5;000A0F5UF
395;IS.DJ EUROZ.SUST.SC.U.ETF;EXXV;DE000A0F5UG3;000A0F5UG
396;IS.S.GL.SE.D.100 U.ETF A.;ISPA;DE000A0F5UH1;000A0F5UH
397;IS.S.EU.600 BANK.U.ETF A.;EXV1;DE000A0F5UJ7;000A0F5UJ
398;IS.S.E.600 BA.RE.U.ETF A.;EXV6;DE000A0F5UK5;000A0F5UK
399;ISHS DIV.COMM.SWAP UC.ETF;EXXY;DE000A0H0728;000A0H072
400;IS.DJ AS.PAC.S.D.30 U.ETF;EXXW;DE000A0H0744;000A0H074
401;IS.E.G.B.C.1.5-10.5 U.ETF;EXHF;DE000A0H0785;000A0H078
402;ISHARES NIKKEI 225 U.ETF;EXX7;DE000A0H08D2;000A0H08D
403;IS.S.EU.600 CHEM.U.ETF A.;EXV7;DE000A0H08E0;000A0H08E
404;ISH.S.EU.600 C+M U.ETF A.;EXV8;DE000A0H08F7;000A0H08F
